"COMP_ID","COMP_NM","COMP_LONG_NM","ISIN_CODE","TICKER"
"10312",Welspun enterprises Ltd,,,
"10297",Indiabull Housing Finance Ltd,,,
"11095",SMFL LTD,,,
"10768",Technopak Advisors ,,,
"10173",Monnet Ispat,Monnet Ispat Energy Ltd,INE743C01013,
"11090",Localbanya.com,,,
"10715",Midvalley Entertainment Ltd,,,
"11188",Croma Retails,,,
"10447",Uniparts,,,
"10724",Westlife Development,,,
"10558",GMR Infra.,GMR Infrastructure Ltd,INE776C01039,NGMRI IN Equity
"10561",Magma Leasing,Magma Leasing Ltd,,
"10284",Aban Offshore Lt,Aban Offshore Ltd,INE421A01028,NABAN IN Equity
"10798",Control Print,Control Print (India) Ltd,INE663B01015,
"10679",UCO Bank,UCO Bank,INE691A01018,
"10805",Janalakshmi MFI,,,
"10933",PVR,PVR Ltd,INE191H01014,
"11702",Leoni,,,
"10346",Hatsun Agro Prod,Hatsun Agro Product Ltd,INE473B01035,
"10733",Grainger W.W. Inc,,,
"11253",K E C infra,K E C Infrastructure Ltd,,
"11077",Arman Lease,Arman Lease & Finance Ltd,,
"10783",L'Oreal India,,,
"10962",Dabur India,Dabur India Ltd,INE016A01026,NDABUR IN Equity
"10968",fort Point,,,
"10850",KelltonTech Solutions  Ltd ,,,
"11276",KEI Inds.,KEI Industries Ltd,INE878B01027,
"10697",Ship. Corp. (I),Shipping Corporation of India Ltd,INE109A01011,NSCI IN Equity
"10661",Virgo Engineer Ltd,,,
"11009",Andhra Papers,,,
"10285",Action Construct,Action Construct,INE731H01025,
"10471",Deepak Nitrite,Deepak Nitrite Ltd,INE288B01029,
"10422",Adhunik Metal,Adhunik Metaliks Ltd,INE400H01019,NADML IN Equity
"11106",Cholamandlam General Insurance Ltd,,,
"10910",Pennar Inds.,Pennar Industries Ltd,INE932A01024,
"10398",Tecpro Systems,,INE904H01010,
"10771",Trillenium Tech.,Trillenium Technologies Ltd,,
"10955",SpiceJet,SpiceJet Ltd,INE285B01017,
"11434",Amb. Cem. East.,Ambuja Cement Eastern Ltd,,
"10453",Bajaj Energy Ltd,,,
"11108",Document Reqd to Buy New Stock,,,
"10574",Aries Agro Ltd,Aries Agro Ltd,INE298I01015,
"10246",Gujarat Pipvav Port Ltd,,,
"11569",Roto Pumps,Roto Pumps Ltd,INE535D01029,
"10970",Intas Pharmaceuticals Ltd. ,,,
"10969",Innoventive industries Ltd,,INE549I01011,
"10598",Volvo Buses India Private Limited,,,
"10680",Adani Power Ltd,,INE814H01011,
"10457",Housing.Com,,,
"10911",Power Finance Copn,Power Finance Copn,,
"10509",Skymet,,,
"10914",PTC Financial Services,,,
"10714",Mirza Internatio,Mirza International Ltd,INE771A01026,NMRZI IN Equity
"11304",Rainbow Papers,Rainbow Papers Ltd,INE028D01025,
"10504",Karuturi Networks Ltd,Karuturi Networks Ltd,INE299C01024,
"11831",Hero Electric Ltd ,,,
"11695",Dollar Industries,,,
"11177",Oberoi Realty Limited,,,
"10774",Crompton Greaves Consumer Electricals Ltd,,,
"11221",Bharat Rasayan,Bharat Rasayan Ltd,INE838B01013,
"10713",Larsen & Toubro,Larsen & Toubro Ltd,INE018A01030,NLT IN Equity
"10302",Noveli,,,
"11685",J Kumar Infrastructure,,,
"10821",Datamatics Tech.,Datamatics Technologies Ltd,INE365B01017,
"10238",Vinati Organics,Vinati Organics Ltd,INE410B01029,
"11103",Trident Projects,Trident Projects Ltd,,
"10727",Balasore Alloys,Balasore Alloys Ltd,INE135A01024,
"11411",State Street Corp,,,
"10478",M M Forgings,M M Forgings Ltd,INE227C01017,MMFG IN Equity
"10806",Lehman Bros,,,
"10807",Kakatiya Cements,Kakatiya Cements Sugar & Industries Ltd,,
"10601",Aditya Birla Fashion & Retail Ltd ,,,
"10921",Cinepolis,,,
"11006",Toyota kirloskar India,,,
"10789",Sarda Exports Ltd,,,
"10971",Mirah Hospitality,,,
"11319",Murugappa group,,,
"11747",Maharashtra Scooters Ltd,,INE288A01013,
"10393",Rediff,,,
"10780",International Oncology Services,,,
"11431",Allied Digital Services Ltd,Allied Digital Services Ltd,INE102I01027,NALDS IN Equity
"11340",Natl. Aluminium,National Aluminium Company Ltd,INE139A01034,NNACL IN Equity
"11152",Neyveli Lignite,Neyveli Lignite Corporation Ltd,INE589A01014,NNLC IN Equity
"10981",Dilip Buildcon Ltd,,,
"11008","3G Auctions  ",,,
"11058",Adi finechem Ltd,,INE959A01019,
"11373",Ansal Properties,Ansal Properties & Infrastructure Ltd,INE436A01026,
"10943",Abbott India,Abbott India Ltd,INE358A01014,
"10882",Adlabs Imagica Ltd,,,
"11326",Tata Communication Ltd,Tata Communication Ltd,,
"10429",Ind-Swift Labs.,Ind-Swift Laboratories Ltd,INE915B01019,
"10485",Shree Ganesh Frg,Shree Ganesh Forgings Ltd,INE883G01018,
"10505",Mastek,Mastek Ltd,INE759A01021,
"11124",Cipla,Cipla Ltd,INE059A01026,NCIPLA IN Equity
"11115",Rain Calcining,Rain Calcining Ltd,,
"10444",Suryoday Microfinance,,,
"10947",IBN18 Broadcast Ltd,IBN18 Broadcast Ltd,,
"11135",Rohit Ferro,Rohit Ferro Tech Ltd,INE248H01012,
"11547",Reliance Communi,Reliance Communication Ltd,INE330H01018,NRCOM IN Equity
"10834",Royal Orchid Hot,Royal Orchid Hotels Ltd,INE283H01019,
"11193",Nag. Fert & Chem,Nagarjuna Fertilizers & Chemicals Ltd,,
"11029",Bajaj Hindustan,Bajaj Hindustan Ltd,INE306A01021,
"10256",Amrutanjan,Amrutanjan Ltd,,
"11748",Prataap snacks,,,
"11013",Charter. Carrier,Chartered Carriers Ltd,,
"11023",Setco Automotive,Setco Automotive Ltd,INE878E01013,
"10811",Reliance Natural,Reliance Natural Resources Ltd,,
"10725",Wim Plast,Wim Plast Ltd,INE015B01018,
"10488",VALUE FUND-3,,,
"11250",hinduja hospitals,,,
"10642",Google India,,,
"10972",Nimbus Beverages,,,
"11053",Sical Logistics Ltd,Sical Logistics Ltd,INE075B01012,
"11390",ETA Engineering Pvt Ltd,,,
"10958",Zensar Technolgs,Zensar Technologies Ltd,INE520A01019,
"11858",Future Group Limited ,,,
"11766",Emami Papers,,,
"11581",Cadbury India Ltd,,,
"10841",Entertainment Nt,Entertainment Network (India) Ltd,INE265F01028,NENIL IN Equity
"11233",Revathi Equipmnt,Revathi Equipment Ltd,INE617A01013,
"10793",TCI Inds.,TCI Industries Ltd,INE920B01019,
"10463",Sunil Hitech,Sunil Hitech Engineers Ltd,INE305H01010,
"11882",Next Mediaworks Limited,,,
"11021",Repro India,Repro India Ltd,INE461B01014,
"10364",Emmbi Polyarns,,,
"11332",Cinemax India Ltd,,,
"10842",FDC,FDC Ltd,INE258B01022,NFDCLT IN Equity
"11551",Tara Health Foods Ltd,,,
"10849",Jubilant Foods,,,
"10974",Piramyd Saimira,,,
"10874",Muthoot Finance Ltd,Muthoot Finance Ltd,INE414G01012,
"10702",Ujaas Energy ltd,,INE899L01022,
"11429",Shale Gas,,,
"11098",Shriram City Un.,Shriram City Union Finance Ltd,INE722A01011,
"10886",DCM Shriram Cons,DCM Shriram Consolidated Ltd,INE499A01024,
"11222",CMI,CMI Ltd,INE981B01011,
"11399",Lafarge,,,
"11880",Fairfax Ltd,,,
"10523",Peninsula Land,Peninsula Land Limited,INE138A01028,NPENL IN Equity
"10817",Triveni Turbine Ltd,,INE152M01016,
"11435",Cera Sanitary,Cera Sanitaryware Ltd,INE739E01017,
"11599",CAC Holding Corporation Ltd,,,
"11173",IndusInd Bank,IndusInd Bank Ltd,INE095A01012,NIIB IN Equity
"11047",Quarter 4 2007-08,,,
"11214",Jasch Inds.,Jasch Industries Ltd,INE711C01010,
"11087",Edel Pulse,,,
