"id","company_name","sector","sub_sector","created_at","updated_at","dd_ticker","nse_ticker","bse_ticker","dd_index","kms_index","refinitiv_index","kms_comp_code","fiscalmonth"
641,Narayana Hrudayalaya Ltd,28,29,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,NH.DD,NH,,202,,102331,,3
1155,LTIMindtree Limited,31,36,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,LTIM.DD,LTIM,"540005",1829,,103258,,3
1108,APL Apollo Tubes Ltd.,92,93,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,APLAPOLLO.DD,APLAPOLLO,"533758",1622,,70235,,3
1464,Hitachi Energy India Ltd,38,39,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,POWERINDIA.DD,POWERINDIA,,27968,,123570,,12
991,Prestige Estates Projects Ltd,72,75,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,PRESTIGE.DD,PRESTIGE,"533274",1230,,79386,,3
1227,Cochin Shipyard Ltd.,38,45,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,COCHINSHIP.DD,COCHINSHIP,"540678",4029,,91883,,3
1160,RHI Magnesita India Ltd,92,95,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,RHIM.DD,RHIM,"534076",1918,,100282,,3
515,Dr. Reddys Laboratories,28,30,2024-09-04 10:58:18.053,2025-01-02 10:30:27.925,DRREDDY.DD,DRREDDY,,88,,24213,,3
1564,Equitas Small Finance Bank Ltd,20,25,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,EQUITASBNK.DD,EQUITASBNK,"543243",28077,,125201,,3
1528,Sansera Engineering Ltd,1,4,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,SANSERA.DD,SANSERA,"543358",28031,,117232,,3
36105,GODAVARI BIOREFINERIES L,134,,2024-11-30 02:44:40.379,2024-12-17 10:00:01.711,GODAVARIB.DD,GODAVARIB,,320996,,130420,,0
1010,Sarda Energy & Minerals Ltd.,56,58,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,SARDAEN.DD,SARDAEN,"504614",1320,,61504,,3
1716,SBI Cards and Payment Services Ltd.,20,26,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,SBICARD.DD,SBICARD,"543066",27941,,120441,,3
1500,Glenmark Life Sciences Ltd.,28,30,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,GLS.DD,GLS,"543322",28001,,128200,,3
1412,Arvind Fashion Ltd.,7,18,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,ARVINDFASN.DD,ARVINDFASN,,27928,,118766,,3
1896,Healthcare Global Enterprises Ltd.,28,29,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,HCG.DD,HCG,,1756,,107248,,3
1029,Sobha Ltd.,72,75,2024-09-04 10:58:18.053,2025-01-02 10:30:27.925,SOBHA.DD,SOBHA,,1377,,54925,,3
1641,HAPPY FORGINGS LIMITED,1,4,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,HAPPYFORGE.DD,HAPPYFORGE,,28306,,137872,,3
2039,Solar Industries,38,42,2024-09-04 10:58:18.053,2025-01-02 10:30:27.925,SOLARINDS.DD,SOLARINDS,,163,,51099,,3
668,Somany Ceramics,92,10,2024-09-04 10:58:18.053,2025-01-02 10:30:27.925,SOMANYCERA.DD,SOMANYCERA,,235,,55449,,3
1690,Bharat Dynamics Ltd.,38,45,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,BDL.DD,BDL,"541143",24282,,112454,,3
1378,Stylam Industries Limited,92,94,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,STYLAMIND.DD,STYLAMIND,"526951",27264,,109358,,3
1468,Sumitomo Chemicals India Ltd,78,79,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,SUMICHEM.DD,SUMICHEM,"542920",27975,,121943,,3
727,Hindustan Zinc Ltd,56,59,2024-09-04 10:58:18.053,2025-01-02 10:30:27.925,HINDZINC.DD,HINDZINC,,279,,25714,,3
1206,Symphony Ltd.,7,11,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,SYMPHONY.DD,SYMPHONY,"517385",2066,,88034,,6
1573,Syrma SGS Technology Limited,38,125,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,SYRMA.DD,SYRMA,"543573",28089,,131675,,3
1261,Dixon Technologies Ltd.,38,125,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,DIXON.DD,DIXON,"540699",4049,,112897,,3
1717,INOX WIND ENERGY LIMITED,70,74,2024-09-04 10:58:18.053,2024-12-25 19:00:00.948,IWEL.DD,IWEL,"543297",28347,,132385,,0
550,BSE Ltd,20,27,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,BSE.DD,BSE,,133,,109544,,3
1537,Tarsons Products Limited,38,117,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,TARSONS.DD,TARSONS,"543399",28053,,129852,,3
551,Dalmia Bharat Ltd.,92,73,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,DALBHARAT.DD,DALBHARAT,,137,,119222,,3
1524,Ami Organics Ltd,28,30,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,AMIORG.DD,AMIORG,,28028,,118820,,3
1630,Tata Technologies Ltd,31,36,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,TATATECH.DD,TATATECH,"544028",28296,,136015,,3
1419,TBO Tek Limited,31,34,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,TBOTEK.DD,TBOTEK,"544174",32014,,131836,,3
1212,TD Power Systems Ltd,38,39,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,TDPOWERSYS.DD,TDPOWERSYS,"533553",2076,,85209,,3
1903,Teamlease Services Ltd,64,85,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,TEAMLEASE.DD,TEAMLEASE,"539658",2077,,101647,,3
1553,Tega Industries Ltd,38,45,2024-09-04 10:58:18.053,2024-12-25 19:00:00.948,TEGA.DD,TEGA,"543413",28066,,132268,,0
1902,NMDC Steel Limited,139,,2024-09-04 10:58:18.053,2024-12-17 10:00:01.711,NSLNISP.DD,NSLNISP,,31988,,135773,,0
787,CESC Ltd.,72,74,2024-09-04 10:58:18.053,2025-01-02 10:30:27.925,CESC.DD,CESC,,512,,26973,,3
18673,AFCONS INFRASTRUCTURE LTD,132,,2024-11-13 06:29:46.326,2025-01-02 10:30:27.925,AFCONS.DD,AFCONS,,332982,,59873,,3
2061,Tube Investment of India Ltd.,1,4,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,TIINDIA.DD,TIINDIA,"540762",27568,,114830,,3
