"Ticker","Name_","Type_","Period_","EffectiveDate","ExpireDate","Measure_Code","Measure_Desc","UnitType","Curr","Value_","NumIncEsts"
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-11-05 19:06:00.000,,PPROFITREP,Reported Pretax Profit,Currency,INR,1022145.76129,28
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-11-05 19:06:00.000,,OPREXP,Operating Expense,Currency,INR,792861.42857,28
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-07-22 00:45:00.000,,AUM,Assets Under Management,Currency,INR,46000.0,1
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-08-14 22:31:56.687,,TIER1,Core Tier 1 Capital,Currency,INR,14.7,7
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-25 16:49:00.000,,TOTDEP,Total Deposits,Currency,INR,32427818.03448,29
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-25 16:49:00.000,,INTEXP,Interest Expense,Currency,INR,1905624.88889,18
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-21 22:45:27.330,,LOANS,Loans,Currency,INR,30275502.92593,27
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-07-22 14:14:00.000,,AVGLOAN,Net Charge-offs/Average Loans,Percentage,,0.7,1
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-25 16:49:00.000,,NII,Net Interest Income,Currency,INR,1429248.65517,29
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-21 10:29:00.000,,NIS,Net Interest Spread,Percentage,,3.3,4
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-11-05 19:06:00.000,,FCI,Fees & Commissions Income,Currency,INR,426608.88889,9
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-20 20:14:00.000,,NPA,Non-Performing Assets,Currency,INR,53188.0125,8
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-20 16:08:00.000,,NPL,Non-Performing Loans,Currency,INR,257325.85,2
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-20 20:14:00.000,,RWA,Risk Weighted Assets,Currency,INR,30445595,2
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-21 08:29:00.000,,T1C,Tier 1 Capital Ratio,Percentage,,17.28889,9
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-07 07:47:00.000,,CUSDEP,Customer Deposits under Total Deposits,Currency,INR,1297000.0,1
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-11-05 19:06:00.000,,TNIR,Total non-interest Revenue,Currency,INR,540697.54167,24
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-21 11:00:00.000,,TRAINC,Trading Income,Currency,INR,22148.5,2
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-20 22:54:20.413,,SIC,Securities in Issue under Total Deposits,Currency,INR,8016233.0,1
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-11-05 19:06:00.000,,SEQUITY,Shareholders Equity,Currency,INR,5584550.67144,18
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-07-13 02:10:00.000,,TBV,Tangible Book Value,Currency,INR,5587166.69,1
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-11-05 19:06:00.000,,TA,Total Assets,Currency,INR,44935014.71429,28
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-11-05 19:06:00.000,,TOTINC,Total Income,Currency,INR,1973549.5,28
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-21 08:29:00.000,,EFFRATIO,Efficiency Ratio,Percentage,,39.73684,19
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-20 20:14:00.000,,NIE,Non-Interest Expense,Currency,INR,813567.0,2
HDFCBANK,HDFC Bank Ltd,Year,2026,2023-07-18 07:47:00.000,,NRECITEM,Non-recurring items,Currency,INR,0.0,1
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-25 16:49:00.000,,NIM,Net Interest Margin,Percentage,,3.62897,29
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-11-05 19:06:00.000,,LLP,Loan Loss Provisions,Currency,INR,150379.48148,27
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-22 05:23:00.000,,NAVPS,NAV per Share,Currency,INR,723.29,1
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-25 16:49:00.000,,TCOMPRATIO,Total Compensation Expense,Currency,INR,271778.05882,17
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-08-19 09:13:00.000,,DEPAMORT,Depreciation & Amortization,Currency,INR,0.01,1
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-07-22 07:36:00.000,,INVENTORY,Inventory,Currency,INR,0.0,1
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-21 11:00:00.000,,NOSHAREOUT,Number of Shares Outstanding,Shares,,9008.95556,9
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-28 15:32:00.000,,PSR,Price/Sales Ratio,Percentage,,6.135,2
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-11-05 19:06:00.000,,TAXPROV,Tax Provision,Currency,INR,252617.78571,28
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-21 07:59:00.000,,TAXRATE,Tax Rate,Percentage,,20.78235,17
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-22 17:30:00.000,,MKTBLSEC,Cash & Mktbl. Sec.,Currency,INR,2403294.75,20
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-07-22 07:36:00.000,,NETINTEXP,Net Interest Inc (Exp),Currency,INR,1571504.0,1
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-21 13:52:00.000,,INTINC,Interest Income,Currency,INR,3326822.28571,7
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-08-19 08:10:00.000,,CURRASSETS,Current Assets,Currency,INR,2387397.0,2
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-21 10:29:00.000,,COSTFUNDS,Cost of Funds ,Percentage,,5.17,10
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-07-22 14:14:00.000,,AVGEASSET,Average Earning Assets,Currency,INR,40672940,1
