"Ticker","Name_","Type_","Period_","Measure_Code","Measure_Desc","UnitType","Curr","Value_"
TCS,Tata Consultancy Services Ltd,Year,2026,GOODWILL,Goodwill,Currency,INR,33170.66667
TCS,Tata Consultancy Services Ltd,Year,2026,INVENTORY,Inventory,Currency,INR,410.83333
TCS,Tata Consultancy Services Ltd,Year,2026,ROIC,Return on Invested Capital,Percentage,,80.76
TCS,Tata Consultancy Services Ltd,Year,2026,TAXRATE,Tax Rate,Percentage,,25.39636
TCS,Tata Consultancy Services Ltd,Year,2026,TOTDEBT,Total Debt,Currency,INR,67818.0
TCS,Tata Consultancy Services Ltd,Year,2026,GROSSINC,Gross Income,Currency,INR,1140871.27273
TCS,Tata Consultancy Services Ltd,Year,2026,ORGANICSAL,Organic Sales Growth,Percentage,,7.45
TCS,Tata Consultancy Services Ltd,Year,2026,PSR,Price/Sales Ratio,Percentage,,5.335
TCS,Tata Consultancy Services Ltd,Year,2026,EBITDAPS,EBITDA Per Share,Currency,INR,220.46
TCS,Tata Consultancy Services Ltd,Year,2026,NOSHAREOUT,Number of Shares Outstanding,Shares,,3599.23056
TCS,Tata Consultancy Services Ltd,Year,2026,FCFPS,Free Cash Flow Per Share,Currency,INR,140.18667
TCS,Tata Consultancy Services Ltd,Year,2026,EBITA,EBITA,Currency,INR,736871.5
TCS,Tata Consultancy Services Ltd,Year,2026,SELLEXP,Selling & Marketing Expense,Currency,INR,0.0
TCS,Tata Consultancy Services Ltd,Year,2026,DEPREC,Depreciation,Currency,INR,53881.04983
TCS,Tata Consultancy Services Ltd,Year,2026,CFOPERAT,Cash Flow from Operations,Currency,INR,574161.23333
TCS,Tata Consultancy Services Ltd,Year,2026,DEFREV,Deferred Revenue,Currency,INR,26901.0
TCS,Tata Consultancy Services Ltd,Year,2026,CAPEX,Capital Expenditures,Currency,INR,44882.25903
TCS,Tata Consultancy Services Ltd,Year,2026,CFFINANCE,Cash Flow from Financing,Currency,INR,-431868.56522
TCS,Tata Consultancy Services Ltd,Year,2026,CFINVEST,Cash Flow from Investing,Currency,INR,-58451.05
TCS,Tata Consultancy Services Ltd,Year,2026,TCOMPRATIO,Total Compensation Expense,Currency,INR,1600286.125
TCS,Tata Consultancy Services Ltd,Year,2026,DEPAMORT,Depreciation & Amortization,Currency,INR,57213.802
TCS,Tata Consultancy Services Ltd,Year,2026,EV,Enterprise Value,Currency,INR,15059190.1525
TCS,Tata Consultancy Services Ltd,Year,2026,REV,Sales,Currency,INR,2801308.67352
TCS,Tata Consultancy Services Ltd,Year,2026,NAVPS,NAV per Share,Currency,INR,295.59575
TCS,Tata Consultancy Services Ltd,Year,2026,COGS,Cost of Goods sold,Currency,INR,1660248.88708
TCS,Tata Consultancy Services Ltd,Year,2026,CFPS,Cash Flow Per Share,Currency,INR,164.86214
TCS,Tata Consultancy Services Ltd,Year,2026,SG&A,SG&A Expense,Currency,INR,490695.8
TCS,Tata Consultancy Services Ltd,Year,2026,SBC,Stock Based Compensation,Currency,INR,0.0
TCS,Tata Consultancy Services Ltd,Year,2026,AMORT,Amortization,Currency,INR,6334.0
TCS,Tata Consultancy Services Ltd,Year,2026,SEQUITY,Shareholders Equity,Currency,INR,1129579.1015
TCS,Tata Consultancy Services Ltd,Year,2026,PPROFIT,Pretax Profit,Currency,INR,755153.22655
TCS,Tata Consultancy Services Ltd,Year,2026,ROE,Return On Equity,Percentage,,53.04497
TCS,Tata Consultancy Services Ltd,Year,2026,TA,Total Assets,Currency,INR,1666842.70833
TCS,Tata Consultancy Services Ltd,Year,2026,ROA,Return on Assets,Percentage,,34.02557
TCS,Tata Consultancy Services Ltd,Year,2026,NETREV,Net Revenue,Currency,INR,2809226.45455
TCS,Tata Consultancy Services Ltd,Year,2026,OPROFIT,Operating Profit,Currency,INR,2837180.0
TCS,Tata Consultancy Services Ltd,Year,2026,R&DEXP,R&D Expense,Currency,INR,23678.0
TCS,Tata Consultancy Services Ltd,Year,2026,TBV,Tangible Book Value,Currency,INR,863428.4745
TCS,Tata Consultancy Services Ltd,Year,2026,NAV,Net Assets Value,Currency,INR,1232486.74776
TCS,Tata Consultancy Services Ltd,Year,2026,NPROFIT,Net Income,Currency,INR,561323.58114
TCS,Tata Consultancy Services Ltd,Year,2026,NDEBT,Net Debt,Currency,INR,-396966.97691
TCS,Tata Consultancy Services Ltd,Year,2026,EPSREP,As Reported EPS,Currency,INR,154.86923
TCS,Tata Consultancy Services Ltd,Year,2026,INTEXP,Interest Expense,Currency,INR,7923.28571
TCS,Tata Consultancy Services Ltd,Year,2026,BVPS,Book Value Per Share,Currency,INR,299.98519
TCS,Tata Consultancy Services Ltd,Year,2026,OPREXP,Operating Expense,Currency,INR,2049427.83333
TCS,Tata Consultancy Services Ltd,Year,2027,OPREXP,Operating Expense,Currency,INR,2251398.33333
TCS,Tata Consultancy Services Ltd,Year,2027,BVPS,Book Value Per Share,Currency,INR,324.26945
TCS,Tata Consultancy Services Ltd,Year,2027,INTEXP,Interest Expense,Currency,INR,9507.90909
TCS,Tata Consultancy Services Ltd,Year,2027,EPSREP,As Reported EPS,Currency,INR,170.998
TCS,Tata Consultancy Services Ltd,Year,2027,NDEBT,Net Debt,Currency,INR,-477282.78883
TCS,Tata Consultancy Services Ltd,Year,2027,NPROFIT,Net Income,Currency,INR,619783.77674
TCS,Tata Consultancy Services Ltd,Year,2027,TBV,Tangible Book Value,Currency,INR,976671.811
TCS,Tata Consultancy Services Ltd,Year,2027,OPROFIT,Operating Profit,Currency,INR,3179574.0
TCS,Tata Consultancy Services Ltd,Year,2027,NAV,Net Assets Value,Currency,INR,1386434.68559
TCS,Tata Consultancy Services Ltd,Year,2027,NETREV,Net Revenue,Currency,INR,3061039.66667
TCS,Tata Consultancy Services Ltd,Year,2027,ROA,Return on Assets,Percentage,,35.08686
TCS,Tata Consultancy Services Ltd,Year,2027,TA,Total Assets,Currency,INR,1867796.94737
TCS,Tata Consultancy Services Ltd,Year,2027,PPROFIT,Pretax Profit,Currency,INR,831782.07653
TCS,Tata Consultancy Services Ltd,Year,2027,SEQUITY,Shareholders Equity,Currency,INR,1249791.53235
TCS,Tata Consultancy Services Ltd,Year,2027,SBC,Stock Based Compensation,Currency,INR,0.0
TCS,Tata Consultancy Services Ltd,Year,2027,AMORT,Amortization,Currency,INR,9807.0
TCS,Tata Consultancy Services Ltd,Year,2027,SG&A,SG&A Expense,Currency,INR,557402.57143
TCS,Tata Consultancy Services Ltd,Year,2027,FCFPS,Free Cash Flow Per Share,Currency,INR,165.70667
TCS,Tata Consultancy Services Ltd,Year,2027,CFPS,Cash Flow Per Share,Currency,INR,195.88717
TCS,Tata Consultancy Services Ltd,Year,2027,CAPEX,Capital Expenditures,Currency,INR,47285.61577
TCS,Tata Consultancy Services Ltd,Year,2027,CFINVEST,Cash Flow from Investing,Currency,INR,-37233.86667
TCS,Tata Consultancy Services Ltd,Year,2027,CFOPERAT,Cash Flow from Operations,Currency,INR,631445.95652
TCS,Tata Consultancy Services Ltd,Year,2027,DEPAMORT,Depreciation & Amortization,Currency,INR,61324.01979
TCS,Tata Consultancy Services Ltd,Year,2027,ROE,Return On Equity,Percentage,,53.63218
TCS,Tata Consultancy Services Ltd,Year,2027,COGS,Cost of Goods sold,Currency,INR,1812455.1634
TCS,Tata Consultancy Services Ltd,Year,2027,TCOMPRATIO,Total Compensation Expense,Currency,INR,1756070.83333
TCS,Tata Consultancy Services Ltd,Year,2027,DEPREC,Depreciation,Currency,INR,56246.93982
TCS,Tata Consultancy Services Ltd,Year,2027,NAVPS,NAV per Share,Currency,INR,371.59067
TCS,Tata Consultancy Services Ltd,Year,2027,REV,Sales,Currency,INR,3049126.21129
TCS,Tata Consultancy Services Ltd,Year,2027,EV,Enterprise Value,Currency,INR,14960854.694
TCS,Tata Consultancy Services Ltd,Year,2027,CFFINANCE,Cash Flow from Financing,Currency,INR,-502070.5
TCS,Tata Consultancy Services Ltd,Year,2027,SELLEXP,Selling & Marketing Expense,Currency,INR,0.0
TCS,Tata Consultancy Services Ltd,Year,2027,EBITA,EBITA,Currency,INR,811343.5
TCS,Tata Consultancy Services Ltd,Year,2027,INVENTORY,Inventory,Currency,INR,501.25
TCS,Tata Consultancy Services Ltd,Year,2027,EBITDAPS,EBITDA Per Share,Currency,INR,247.87
TCS,Tata Consultancy Services Ltd,Year,2027,PSR,Price/Sales Ratio,Percentage,,4.815
TCS,Tata Consultancy Services Ltd,Year,2027,ORGANICSAL,Organic Sales Growth,Percentage,,10.25
